Company Name,Industry,Symbol,Bonus,macd ,rsi,sector trend
ABB India Ltd.,Capital Goods,ABB,0,,,
ACC Ltd.,Construction Materials,ACC,0,,,
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,,,,
AU Small Finance Bank Ltd.,Financial Services,AUBANK,,,,
Adani Energy Solutions Ltd.,Power,ADANIENSOL,,,,
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,,,,
Adani Green Energy Ltd.,Power,ADANIGREEN,,,,
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,,,,
Adani Power Ltd.,Power,ADANIPOWER,,,,
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,,,,
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,,,,
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,,,,
Alkem Laboratories Ltd.,Healthcare,ALKEM,,,,
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,,,,
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,,,,
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,,,,
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,,,,
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,,,,
Astral Ltd.,Capital Goods,ASTRAL,,,,
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,,,,
Avenue Supermarts Ltd.,Consumer Services,DMART,,,,
Axis Bank Ltd.,Financial Services,AXISBANK,,,,
BSE Ltd.,Financial Services,BSE,,,,
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,,,,
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,,,,
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,,,,
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,,,,
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,,,,
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,,,,
Bank of Baroda,Financial Services,BANKBARODA,,,,
Bank of India,Financial Services,BANKINDIA,,,,
Bank of Maharashtra,Financial Services,MAHABANK,,,,
Bharat Dynamics Ltd.,Capital Goods,BDL,,,,
Bharat Electronics Ltd.,Capital Goods,BEL,,,,
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,,,,
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,,,,
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,,,,
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,,,,
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,,,,
Biocon Ltd.,Healthcare,BIOCON,,,,
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,,,,
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,,,,
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,,,,
Canara Bank,Financial Services,CANBK,,,,
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,,,,
Cipla Ltd.,Healthcare,CIPLA,,,,
